,name,ra,dec
0,MAXI J1348-630,207.053,-63.2741
1,GRS 1915+105,288.7981,10.9458
2,MAXI J1631-479,247.7667,-47.92
3,Swift J1728.9-3613,262.245,-36.2255
4,4U1901+03,285.9046,3.1919
5,M87,187.7042,12.3911
6,Cyg X-3,308.1074,40.9577
7,Name,J2000_RA,J2000_Dec
8,Tycho,6.3083,64.1443
9,GX 301-2,186.6565,-62.7703
10,Her X-1,254.4575,35.3423
11,4U 1608-52,243.179,-52.423
12,4U 1728-34,262.9905,-33.834
13,Crab,83.6331,22.0145
14,Swift_J0243.6+6124,40.918,61.4341
15,Cas A,350.85,58.815
16,Cen X-3,170.3158,-60.623
17,Vela X-1,135.5286,-40.5547
18,AO 0535+26,84.7274,26.3158
19,Cyg X-1,299.5903,35.2016
20,Cyg X-2,326.1715,38.3214
21,MAXI J1820+070,275.091,7.1856
22,H1743-322,266.565,-32.2333
23,GX 17+2,274.0057,-14.0363
24,B0540-69,85.0452,-69.3317
25,B1509-58,228.4813,-59.1358
26,GX 9+9,262.934,-16.9614
27,Cir X-1,230.1702,-57.1667
28,Sco X-1,244.9794,-15.6403
29,4U 1630-472,248.5067,-47.393
30,4U 1636-536,250.231,-53.751
31,H 1417-624,215.3033,-62.6983
32,8hr,124,-78.75
33,Dusty10,153,-80.8333
34,Antlia,157.5,-35.3333
35,Centaurus,192.5,-41.3333
36,MAXI J1727-203,262.1247,-20.3823
37,Dusty11,170,-85.3333
38,XTE J1946+274,296.414,27.3654
39,GX 13+1,273.6314,-17.1574
40,NGC 6624,275.9188,-30.361
41,Swift J1756.9-2508,269.2389,-25.1077
42,IGR J16328-4726,248.1577,-47.3948
43,Swift J1658.2-4242,254.55,-42.7
44,2A 1822-371,276.445,-37.1052
45,MAXIJ1820+070,275.1083,7.0369
46,Aql X-1,287.8169,0.58494
47,GRO J1008-57,152.4333,-58.295
48,MAXI J1535-571,233.832,-57.23
49,Cosmos Field,150.1191,2.2058
50,GRO J1750-27,267.2908,-26.6369
51,1ES 1959+650,299.9992,65.1486
52,Crab_offset,82.188,22.6265
53,Perseus,49.9467,41.5131
54,PSR J2032+4127,308.0547,41.4568
55,CasA,350.8499,58.815
56,Crab offset,85.1883,21.1787
57,Vega,279.2347,38.7837
58,GX339-4,255.7056,-48.7896
59,Swift J0243.6+6124,40.918,61.434
60,Burst,95.9,-39.9
61,MAXI J1543-564,235.823,-56.414
62,0817_C,36.2267,52.6293
63,Granat 1716-249,259.9039,-25.0176
64,PSR B1509-58,228.4813,-59.1357
65,4U 0115+63,19.6325,63.7425
66,H 1743-322,266.565,-32.2333
67,GS 1826-238,277.3675,-23.7969
