Row,Input Object Name,Object Name,RA,Dec,Object,Redshift,z   Row
No.,(E/W Hover for Messages),(* Hover for Essential Note),J2000.0,J2000.0,Type,,Qual No.
,,,,,,,
1,Milky Way,,,,,,1
2,Canis Major Dwarf              *,Canis Major Dwarf,07h12m35.00s,-27d40m00.0s,G,,2
3,Sagittarius Dwarf Sphr SagDEG,,18h55m19.5s,-30d32m43.0s,,,3
4,Ursa Major II Dwarf,Ursa Major II Dwarf,08h51m30.00s,+63d07m48.0s,G,-0.000334,4
5,Large Magellanic Cloud,Large Magellanic Cloud,05h23m34.53s,-69d45m22.1s,G,0.000927,5
6,Boèítes I,,14h00m06s,+14d30m00s,,,6
7,Small Magellanic Cloud,Small Magellanic Cloud,00h52m44.78s,-72d49m43.0s,G,0.000527,7
8,Ursa Minor Dwarf,UMi Dwarf,15h09m08.49s,+67d13m21.4s,G,-0.000824,8
9,Draco Dwarf,Draco Dwarf,17h20m12.39s,+57d54m55.3s,G,-0.000974,9
10,NGC 2419,NGC 2419,07h38m07.95s,+38d52m47.9s,!*Cl,,10
11,Sextans Dwarf Sph,Sextans dSph,10h13m02.96s,-01d36m52.6s,G,0.000754,11
12,Sculptor Dwarf,,01h00m09.3s,-33d42m33s,,,12
13,Ursa Major I Dwarf,UMa Dwarf,10h34m52.80s,+51d55m12.0s,G,0.003673,13
14,Carina Dwarf,Carina Dwarf,06h41m36.69s,-50d57m58.3s,G,0.000764,14
15,Fornax Dwarf,,02h39m59.3s,-34d26m57s,,,15
16,Leo II Dwarf                   *,Leo B,11h13m28.80s,+22d09m06.0s,G,0.000264,16
17,Leo I Dwarf,Leo I,10h08m28.10s,+12d18m23.0s,G,0.000951,17
18,Leo T Dwarf,Leo T,09h34m53.40s,+17d03m05.0s,G,0.000117,18
19,Phoenix Dwarf Galaxy,,01h51m06.3s,-44d26m41s,,,19
20,Barnard's Galaxy               *,NGC 6822,19h44m57.74s,-14d48m12.4s,G,-0.00019,20
21,MGC1,Isolated cluster at ~200 kpc fromãM31,,,,,21
22,NGC 185,NGC 0185,00h38m57.97s,+48d20m14.6s,G,-0.000674,22
23,Andromeda II,Andromeda II,01h16m29.78s,+33d25m08.8s,G,-0.000627,23
24,IC 10                          *,IC 0010,00h20m17.34s,+59d18m13.6s,G,-0.001161,24
25,NGC 147,NGC 0147,00h33m12.12s,+48d30m31.5s,G,-0.000644,25
26,Leo A,Leo III,09h59m26.46s,+30d44m47.0s,G,0.000067,26
27,IC 1613                        *,IC 1613,01h04m47.79s,+02d07m04.0s,G,-0.000781,27
28,Andromeda I,Andromeda I,00h45m39.80s,+38d02m28.0s,G,-0.001228,28
29,Andromeda III,Andromeda III,00h35m33.78s,+36d29m51.9s,G,-0.001171,29
30,Cetus Dwarf,Cetus Dwarf Spheroidal,00h26m11.03s,-11d02m39.6s,G,-0.00029,30
31,M32,MESSIER 032,00h42m41.83s,+40d51m55.0s,G,-0.000667,31
32,Cassiopeia Dwarf,Andromeda VII,23h26m31.74s,+50d40m32.6s,G,-0.001024,32
