,GarageId,GarageName,GarageAddress
0,475,上海浦东国际机场货运站有限公司,速航路168号
1,818,P1P2(计时）停车场,迎宾大道6088号
2,820,P15停车场,海天五路225号
3,821,上海机场保安公司浦东停车场,护航路860号
4,991,P2停车场,空港一路399号
5,1341,世博源停车库,世博大道1368号
6,1378,P10停车场,浦东机场海天五路500号东侧
7,1435,新客站南广场地下车库,秣陵路303号
8,2284,虹桥枢纽西交通中心停车场（库）,申虹路298号
9,2296,P11(中航柏悦酒店）停车库,申达三路181号
10,2297,虹桥机场东交停车场（库）（P5P6P7P8）,申昆路1500号
11,2303,新客站北广场地下车库,中兴路1580号
12,2307,上海火车南站地下停车库,石龙路750号
13,2786,迪士尼乐园游客停车场,申迪西路450号
14,3224,虹桥机场T1航站楼P1停车库,迎宾一路
15,4528,P4(长时)停车库,东启航路（海天四路、海天五路之间）
16,1589,宝杨码头客运站停车库,宝杨支路4弄
17,1611,上坤城市广场停车场,聚丰园路91弄
18,1924,宝山万达广场停车库,一二八纪念路968号
19,1925,大华虎城第一坊停车库,大华二路268号
20,1927,文渊楼停车库,沪太路2388号
21,2525,淞桥停车场,吴淞大桥桥洞内
22,2527,月浦停车场,月罗路321号
23,2529,江杨农产品市场停车场,江杨北路98号
24,2530,吴淞客运中心停车库,化成路251号
25,2544,大华秦森广场停车库,真华路1116号
26,2645,宝山医院停车场,友谊路181号
27,2647,黄金广场停车场,牡丹江路1688号
28,2649,仁和医院停车场,长江西路1999号
29,2650,炮台湾湿地公园停车场,塘后路206号
30,2651,淞沪抗战纪念公园停车场,友谊路1号
31,2652,上海金罗店生态农业有限公司,宝山区联杨路3888号
32,2653,宝权停车场,铁力路1490号
33,2654,宝莲城南块停车场,双城路803弄
34,2656,安信商业广场停车库,牡丹江路1211号-1258号
35,2657,骏利财富大厦停车库,共和新路5199号
36,2658,新沪大润发停车库,华灵路1051号-1067号
37,2659,北斗星广场停车场（库）,长临路959弄37号
38,2660,联和滨江大厦停车场库,淞桥东路111号
39,2661,泰德科技园停车场,蕴川路516号
40,2662,华灵乐购停车场,大华路518号
41,2663,罗店医院停车场,罗溪路121号
42,2664,罗泾停车场,新川沙路531号
43,2665,智力产业园停车库,纪蕴路588号
44,2666,共康停车场,长临路800号—18
45,2667,顾村公园停车场,沪太路4788号
46,2668,颐正大厦停车场,新村路681号
47,2669,农工商宝山店停车场,同泰北路401号
48,2671,聚丰购物广场停车库,聚丰园路155号
49,2672,巴黎春天宝山店停车库,真华路888号
50,2673,新宝山大厦停车场,友谊路199号
51,2674,新陆大厦停车库,共和新路4727号
52,2675,江杨水产品市场停车场,铁城路1555号
53,2677,东鼎国际大厦停车库,漠河路600弄
54,2680,江杨北路站P+R停车库,江杨北路1801号
55,2682,高景国际大厦停车库,殷高西路101号
56,2683,钢领停车场,铁山路1075号
57,2684,国际工业设计中心停车库,逸仙路3000号
58,2685,大场镇站P+R停车库,沪太路1899号
59,2686,锦秋路停车场,锦秋路695弄
60,2688,移动互联网产业基地停车场,沪太路4361号
61,2691,世纪联华宝山店停车场,水产路1234号
62,2692,博锦机动车检测停车场,罗溪路1201弄15号
63,2693,宝钢医院停车场,樟岭路48号
64,2694,大华虎城嘉年华停车库,大华一路210号
65,2696,泰富商业广场停车场,水产路2399号
66,2698,永绿置业停车场,城银路555弄
67,2699,东智广场停车库,友谊路1502号
68,2700,华润万家三门店停车场,三门路501号
69,2701,金仓永华酒店停车库,水产路2659号
70,2702,美兰湖站P+R停车库,罗芬路1088号
71,2703,大华虎城第三空间停车库,真华路892号
72,2704,宝山体育中心停车库,永清路700号
73,2705,绿地新都汇停车库,共和新路5000弄6号
74,2706,沪客隆停车场,淞兴路163号
75,2707,月浦蔬菜交易市场停车场,蕴川路2767号
76,2709,宝山宜家停车库,沪太路1818号
77,2710,中环天地停车库,环镇南路858弄9号
78,2711,环镇北路停车场,环镇北路547号
79,2712,宝安公路站停车场,地铁1号线宝安公路站
80,2713,铁力路站停车场,地铁3号线铁力路站
81,2714,友谊西路站停车场,地铁1号线友谊西路站
82,2715,淞滨路站停车场,地铁3号线淞滨路站
83,2716,宇业生活广场停车场,沪太路3663号
84,2717,宝车荟复地●国际汽车商务园停车场,逸仙路3718号
85,2718,联家超市共江店停车库,共江路1208号
86,2719,世纪联华罗店店停车库,罗芬路1088号
87,2720,幸福湾园区停车库,同济路999号
88,2722,宝杨路站停车场,地铁3号线宝杨路站
89,2723,富锦路站停车场,地铁1号线富锦路站
90,2725,狮子桥停车场,宝杨路宝杨支路
91,2726,富锦路站P+R停车库,杨北路1号
92,2727,沪太百安居停车场,沪太路1800号
93,2728,玻璃博物馆停车库,长江西路685号
94,2731,闿和阳光大厦停车库,宝杨路3003号
95,2774,团结路美食广场停车场,团结路14号
96,2882,三水国际广场停车库,化成路366弄8号
97,2932,零点广场二期停车库,宝杨路1号
98,3064,亿博大厦停车库,蕴川路1999弄
99,3083,罗店宝龙广场停车库,杨南路2211号
100,3086,吉浦路停车场,吉浦路521号
101,3090,广联环境停车库,园康路255号
102,3147,越界智汇园停车场,呼兰路799号
103,3201,宝乐汇停车库,牡丹江路1569号
104,3230,绿地顾村公园商务广场停车库,陆翔路111弄3号
105,3278,淞宝市场停车场,永乐路388号
106,3295,万渡广场停车场,共和新路5288号
107,3299,舒诚商务中心停车场,宝杨路1850号
108,3325,友谊都市产业服务中心停车库,宝杨路1369号
109,3347,绿地北郊广场停车库,沪太路5355弄7号
110,3366,和欣墅街停车库,纪蕴路320弄
111,3405,翼生活广场停车库,水产路2449号
112,3417,长江西路凯旋丽都停车场,长江西路2200号
113,3431,大华婚庆中心停车库,华灵路1090号
114,3454,朗香花园停车库,祁真路25号
115,3497,中江洋停车场,泰和路1810号
116,3607,庙行菜市场停车场,长临路1368号
117,3609,中成智谷停车场,长江路250号
118,3638,半岛1919产业园停车场,淞兴西路258号
119,3655,齐盈生态停车场,铁城路1588号
120,3658,华山北院停车场,镜泊湖路518号
121,3659,场北商业广场停车库,场北路704号
122,3720,长江西路北侧广场停车场,长江西路北侧广场（三泉路-长临路）
123,3723,保利悦活荟停车库,长江西路388号
124,3743,龙湖北城天街停车库,丹霞山路50弄1号
125,3756,花园弄新街口停车场,花园弄新街口
126,3775,江阳水产市场停车场,泰和路1700号
127,3780,钢博会停车场,业绩路8号
128,3800,优先生物停车库,园康路300号
129,3801,东街休闲广场停车库,松兰路879号
130,3818,电气都市工业园区停车场,长江西路850号23幢
131,3829,乐桦坊停车库,真北路4288号
132,3862,馨煌广场停车场,安家路15-29号
133,3871,同济创园停车库,淞良路10号
134,3872,卓越时代广场停车库,呼兰西路60弄
135,3928,申菊新贸路停车场,新贸路2号
136,3967,宝莲城北块停车库,海江路888弄1号
137,4026,罗店上坤上街停车库,塘西街299弄
138,4056,铁山路9号停车场,铁山路9号
139,4090,敉平大厦停车库,城银路318号
140,4105,润通集贸市场停车场,水产西路938号
141,4150,陈川路停车场,陈川路58号临
142,4166,逸骅工业设计中心停车场,高逸路88号
143,4212,宝杨路18号停车场,宝杨路18号
144,4221,邮轮港港区停车场,宝杨路1号
145,4224,沪嘉高速汶水路桥孔停车场,沪嘉高速公路/汶水路桥孔
146,4226,宝山区行政服务中心停车场,淞滨路1号
147,4245,昇PARK文创产业区停车库,真大路520号
148,4264,地铁刘行站公交枢纽停车库,陆翔路1018弄8号
149,4309,新杨湾科创园停车场,江杨南路880号
150,4342,大华老镇嘉年华停车库,场中路4098号
151,4343,真华路1780号停车库,真华路1780号
152,4345,真华路1781号停车库,真华路1781号
153,4375,文教产业园一期停车场,殷高路65号
154,4376,文教产业园二期停车场,殷高路27号
155,4419,三邻桥体育文化园停车场,江杨南路485号
156,4424,共富新村站第三象限停车场,蕰川路608号
157,4425,保翔停车场,虎林路1038号
158,4493,大润发罗店店停车库,月罗路2380号
159,4507,金融科创产业孵化园停车场,沪太路5589号
160,4600,宝山U天地美兰湖停车库,美兰湖路1200弄
161,4601,宝山U天地停车场,美健路979号
162,4685,临港新业坊停车场,逸仙路1328号
163,4694,锦隆驾校停车场,杨北路161号
164,4697,宝杨宝龙广场停车场,同济路669弄1-10号
165,4698,沪太路5008弄通道停车场,沪太路5008弄
166,4699,顾村社区卫生中心停车场,水产西路1138号
167,4700,宝山U天地美健路停车库,美健路829号
168,4844,大华一路停车场,新沪路11弄6号
169,4879,永久产业园停车场,真大路560号
170,4880,长江源停车场,长江路43号
171,4881,永乐汇文创园停车场,沪太路4292号
172,4893,共康创意园停车场,共和新路5308弄32号
173,4911,上大宝山校区停车场,上大路99号
174,4924,龙湖冠寓顾村公园店停车场,菊太路70号
175,4934,复地中环天地三期停车库,环镇南路858弄
176,4956,创客邦园区停车场,同济路488号
177,4957,申菊陆陈路停车场,陆陈路338号
178,4988,宝山花园城,宝山区水产路2199弄2069号
179,4989,和丰停车场,淞滨路74号
180,4999,淞苑酒店停车场,水产路689-761号
181,5037,星月国际商务广场停车库,淞宝路155弄
182,5046,上海美兰湖酒店经营管理有限公司,宝山区罗芬路888号
183,5062,吴淞医院停车场,同泰北路101号
184,5065,玲珑广场停车场,牡丹江路189号
185,5068,昊元生活广场停车场,菊联路90号
186,5078,菲力健身停车场,康文路320号
187,5115,汇融冷冻市场地面停车场,宝山区江杨南路2058号
188,5130,红石科技大楼停车场,蕰川路512号
189,5152,洋北停车场,蕰川路2369号
190,5187,尚景天地停车场,殷高西路518号
191,5201,绿地科技中心,沪太路2899弄
192,5217,年吉邻里中心停车场,年吉路100弄12号
193,5236,宝山宾馆停车库,牡丹江路1813号
194,5257,兴明建材市场停车场,沪太路4332号
