,Name,obs Mode,J2000_RA,J2000_Dec
15,1RXS J1708-4009,Point,257.195,-40.127
71,4U 1608-52,Point,243.1792,-52.4231
47,4U 1608-52,Point,243.1792,-52.4231
39,4U 1608-52,Point,243.1792,-52.4231
21,4U 1608-52,Point,243.1792,-52.4231
51,4U 1608-52,Point,243.1792,-52.4231
54,4U 1608-52,Point,243.1792,-52.4231
17,4U 1608-52,Point,243.1792,-52.4231
36,4U 1608-52,Point,243.1792,-52.4231
58,4U 1608-52,Point,243.1792,-52.4231
42,4U 1608-52,Point,243.1792,-52.4231
13,4U 1608-52,Point,243.1792,-52.4231
10,4U 1608-52,Point,243.1792,-52.4231
62,4U 1608-52,Point,243.1792,-52.4231
7,4U 1608-52,Point,243.1792,-52.4231
31,4U 1608-52,Point,243.1792,-52.4231
4,4U 1608-52,Point,243.1792,-52.4231
65,4U 1608-52,Point,243.1792,-52.4231
1,4U 1608-52,Point,243.1792,-52.4231
60,4U 1608-52,Point,243.1792,-52.4231
26,4U 1608-52,Point,243.1792,-52.4231
12,4U 1636-53,Point,250.2312,-53.7513
37,4U 1636-53,Point,250.2312,-53.7514
63,4U 1636-53,Point,250.2312,-53.7514
3,Cen X-3,Point,170.3129,-60.6238
38,GRO J1008-57,Point,152.4421,-58.2919
41,GRO J1008-57,Point,152.4421,-58.2919
57,GRO J1008-57,Point,152.4421,-58.2919
50,GRO J1008-57,Point,152.4421,-58.2919
53,GRO J1008-57,Point,152.4421,-58.2919
61,GRO J1008-57,Point,152.4421,-58.2919
64,GRO J1008-57,Point,152.4421,-58.2919
46,GRO J1008-57,Point,152.4421,-58.2919
70,GRO J1008-57,Point,152.4421,-58.2919
35,GRO J1008-57,Point,152.4421,-58.2919
2,GRO J1008-57,Point,152.4421,-58.2919
30,GRO J1008-57,Point,152.4421,-58.2919
5,GRO J1008-57,Point,152.4421,-58.2919
8,GRO J1008-57,Point,152.4421,-58.2919
25,GRO J1008-57,Point,152.4421,-58.2919
20,GRO J1008-57,Point,152.4421,-58.2919
11,GRO J1008-57,Point,152.4421,-58.2919
16,GRO J1008-57,Point,152.4421,-58.2919
6,GX 301-2,Point,186.6565,-62.7704
9,GX 301-2,Point,186.6565,-62.7704
40,Sco X-1,Point,244.9795,-15.6403
52,Sco X-1,Point,244.9795,-15.6403
59,Vela X-1,Point,135.5286,-40.5547
18,blank_sky3,Point,50.3109,-57.196
19,blank_sky4,Point,327.119,-42.4725
22,blanksky11,Point,319.0534,3.8279
23,blanksky16,Point,176.7384,-20.6881
24,blanksky21,Point,193.2758,68.4275
,Name,obs Mode,J2000_RA,J2000_Dec
1,SGR 1935+2154,Point,293.732,21.8967
98,SGR 1935+2154,Point,293.732,21.8967
134,SGR 1935+2154,Point,293.73,21.9
267,SGR 1935+2154,Point,293.7319,21.8967
329,SGR 1935+2154,Point,293.7319,21.8967
359,SGR 1935+2154,Point,293.7319,21.8967
391,SGR 1935+2154,Point,293.7319,21.8967
421,SGR 1935+2154,Point,293.7319,21.8967
453,SGR 1935+2154,Point,293.7319,21.8967
485,SGR 1935+2154,Point,293.7319,21.8967
,Name,obs Mode,J2000_RA,J2000_Dec
27,4U 1630-472,Point,248.5067,-47.393
